"1";"Det blåser en vind så kald,";"H";"M,2,13,38,45,85,113";"Det blæs ein vind så kald,";"1";"1"
"2";"At selv døden fryser.";"R";"H,44,45";"At sjølv dauden frys.";"2";"1"
"3";"Skyggene er mørkere enn vanlig";"H";;"Skuggane er mørkare enn vanleg";"3";"1"
"4";"Månen &#8230; knallrød.";"H";"H,45,74";"Månen &#8230; knallraud.";"4";"1"
"5";"Tårene rant ikke.";"H";"H,44";"Tårene rann ikkje.";"5";"1"
"6";"De frøs til is halvveis i kinnet.";"R";"H,44";"Dei fraus til is halvvegs i kinnet.";"6";"1"
"7";"Det luktet svovel &#8230;";"H";"H,131";"Det anga svovel &#8230;";"7";"1"
"8";"Man hørte lyder.";"H";;"Ein høyrde ljodar.";"8";"1"
"9";"Kvalte skrik, dryppende blod.";"H";"H,131";"Kjøvde skrik, drypande blod.";"9";"1"
"10";"Men akkurat som tårene,";"M";"11";"Men nett som tårene,";"10";"1"
"11";"Hadde følelsene også frosset fast &#8230;";"R";;"Hadde kjenslene òg frose fast &#8230;";"11";"1"
"12";"Det blåser en kald vind &#8230;";"H";"M,13,38,45,85,113";"Det blæs ein kald vind &#8230;";"1";"2"
"13";"Som får selv døden til å fryse.";"R";"H,44";"Som får sjølv dauden til å frysa.";"2";"2"
"14";"Tårer renner ikke &#8230; kjærligheten er død.";"H";"H,44";"Tårer renn ikkje &#8230; kjærleiken er daud.";"3";"2"
"15";"Jeg hører skrik. Kvalte skrik.";"H";"H,131";"Eg høyrer skrik. Kjøvde skrik.";"4";"2"
"16";"Kjedet du ga meg, jenta mi &#8230;";"H";"7,17,32,81,97,114";"Kjeda du gav meg, jenta mi &#8230;";"5";"2"
"17";"Jeg har det fortsatt.";"R";;"Eg har ho framleis.";"6";"2"
"18";"Men først nå skjønner jeg dine valg.";"M";;"Men fyrst no skjønar eg vala dine.";"7";"2"
"19";"Først nå skjønner jeg hvem den skyldige var &#8230;";"H";"H,130";"Fyrst no skjønar eg kven den skuldige var &#8230;";"8";"2"
"20";"«Sjelen døde før legemet &#8230; drept av den hun elsket mest.»";"Q";"H,61";"«Sjela døydde før lekamen &#8230; drepen av den ho elska mest.»";"9";"2"
"21";"Beklager, min sommerfugl &#8230;";"H";;"Orsak, sommarfuglen min &#8230;";"10";"2"
"22";"Beklager alt!";"H";;"Lei for alt!";"11";"2"
"23";"Vinden blåser fremdeles.";"H";"H,45,50";"Vinden blæs framleis.";"1";"3"
"24";"Like kaldt, like stille &#8230;";"H";"H,42";"Like kaldt, like stilt &#8230;";"2";"3"
